techs,carriers,systemwide_capacity_factor
ESP_6_FRA_2_ac_ohl_mountain_transmission,oil,0.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,uranium,0.0
ESP_6_FRA_2_dc_underground_transmission,coal,0.0
ESP_6_FRA_2_dc_underground_transmission,electricity,0.0
ESP_6_FRA_2_dc_underground_transmission,natural_gas,0.0
ESP_6_FRA_2_dc_underground_transmission,oil,0.0
ESP_6_FRA_2_dc_underground_transmission,uranium,0.0
ESP_6_FRA_3_dc_subsea_transmission,coal,0.0
ESP_6_FRA_3_dc_subsea_transmission,electricity,0.0
ESP_6_FRA_3_dc_subsea_transmission,natural_gas,0.0
ESP_6_FRA_3_dc_subsea_transmission,oil,0.0
ESP_6_FRA_3_dc_subsea_transmission,uranium,0.0
ESP_7_ESP_11_ac_ohl_transmission,coal,0.0
ESP_7_ESP_11_ac_ohl_transmission,electricity,0.0
ESP_7_ESP_11_ac_ohl_transmission,natural_gas,0.0
ESP_7_ESP_11_ac_ohl_transmission,oil,0.0
ESP_7_ESP_11_ac_ohl_transmission,uranium,0.0
ESP_7_ESP_8_ac_ohl_transmission,coal,0.0
ESP_7_ESP_8_ac_ohl_transmission,electricity,0.0
ESP_7_ESP_8_ac_ohl_transmission,natural_gas,0.0
ESP_7_ESP_8_ac_ohl_transmission,oil,0.0
ESP_7_ESP_8_ac_ohl_transmission,uranium,0.0
ESP_8_ESP_10_ac_ohl_transmission,coal,0.0
ESP_8_ESP_10_ac_ohl_transmission,electricity,0.0
ESP_8_ESP_10_ac_ohl_transmission,natural_gas,0.0
ESP_8_ESP_10_ac_ohl_transmission,oil,0.0
ESP_8_ESP_10_ac_ohl_transmission,uranium,0.0
ESP_8_ESP_9_ac_ohl_transmission,coal,0.0
ESP_8_ESP_9_ac_ohl_transmission,electricity,0.0
ESP_8_ESP_9_ac_ohl_transmission,natural_gas,0.0
ESP_8_ESP_9_ac_ohl_transmission,oil,0.0
ESP_8_ESP_9_ac_ohl_transmission,uranium,0.0
ESP_8_PRT_2_ac_ohl_transmission,coal,0.0
ESP_8_PRT_2_ac_ohl_transmission,electricity,0.0
ESP_8_PRT_2_ac_ohl_transmission,natural_gas,0.0
ESP_8_PRT_2_ac_ohl_transmission,oil,0.0
ESP_8_PRT_2_ac_ohl_transmission,uranium,0.0
ESP_9_ESP_10_ac_ohl_transmission,coal,0.0
ESP_9_ESP_10_ac_ohl_transmission,electricity,0.0
ESP_9_ESP_10_ac_ohl_transmission,natural_gas,0.0
ESP_9_ESP_10_ac_ohl_transmission,oil,0.0
ESP_9_ESP_10_ac_ohl_transmission,uranium,0.0
ESP_9_MA_dc_subsea_transmission,coal,0.0
ESP_9_MA_dc_subsea_transmission,electricity,0.0
ESP_9_MA_dc_subsea_transmission,natural_gas,0.0
ESP_9_MA_dc_subsea_transmission,oil,0.0
ESP_9_MA_dc_subsea_transmission,uranium,0.0
ESP_9_PRT_2_ac_ohl_transmission,coal,0.0
ESP_9_PRT_2_ac_ohl_transmission,electricity,0.0
ESP_9_PRT_2_ac_ohl_transmission,natural_gas,0.0
ESP_9_PRT_2_ac_ohl_transmission,oil,0.0
ESP_9_PRT_2_ac_ohl_transmission,uranium,0.0
PRT_1_PRT_2_ac_ohl_transmission,coal,0.0
PRT_1_PRT_2_ac_ohl_transmission,electricity,7.863376253305262e-07
PRT_1_PRT_2_ac_ohl_transmission,natural_gas,0.0
PRT_1_PRT_2_ac_ohl_transmission,oil,0.0
PRT_1_PRT_2_ac_ohl_transmission,uranium,0.0
Trade_Markets_ESP_10_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_10_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,0.09089520158100473
Trade_Markets_ESP_10_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_10_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_11_coal_transmission,coal,0.0
Trade_Markets_ESP_11_coal_transmission,electricity,0.0
Trade_Markets_ESP_11_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_11_coal_transmission,oil,0.0
Trade_Markets_ESP_11_coal_transmission,uranium,0.0
Trade_Markets_ESP_11_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_11_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,0.37222699020976613
Trade_Markets_ESP_11_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_11_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,coal,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,electricity,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,natural_gas,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,oil,0.3726440391802747
Trade_Markets_ESP_11_oil_fuel_transmission,uranium,0.0
Trade_Markets_ESP_11_uranium_transmission,coal,0.0
Trade_Markets_ESP_11_uranium_transmission,electricity,0.0
Trade_Markets_ESP_11_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_11_uranium_transmission,oil,0.0
Trade_Markets_ESP_11_uranium_transmission,uranium,0.4999856288703612
Trade_Markets_ESP_1_coal_transmission,coal,0.4157874456432918
Trade_Markets_ESP_1_coal_transmission,electricity,0.0
Trade_Markets_ESP_1_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_1_coal_transmission,oil,0.0
Trade_Markets_ESP_1_coal_transmission,uranium,0.0
Trade_Markets_ESP_1_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_1_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,0.035559657777874495
Trade_Markets_ESP_1_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_1_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_2_coal_transmission,coal,0.39239111657483633
Trade_Markets_ESP_2_coal_transmission,electricity,0.0
Trade_Markets_ESP_2_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_2_coal_transmission,oil,0.0
Trade_Markets_ESP_2_coal_transmission,uranium,0.0
Trade_Markets_ESP_2_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_2_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,0.34918462892871077
Trade_Markets_ESP_2_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_2_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,coal,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,electricity,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,natural_gas,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,oil,0.1125265489444781
Trade_Markets_ESP_2_oil_fuel_transmission,uranium,0.0
Trade_Markets_ESP_2_uranium_transmission,coal,0.0
Trade_Markets_ESP_2_uranium_transmission,electricity,0.0
Trade_Markets_ESP_2_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_2_uranium_transmission,oil,0.0
Trade_Markets_ESP_2_uranium_transmission,uranium,0.4490253934633819
Trade_Markets_ESP_3_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_3_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,0.06304338687620135
Trade_Markets_ESP_3_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_3_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_4_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_4_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,0.07961777310083049
Trade_Markets_ESP_4_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_4_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_5_coal_transmission,coal,0.4194013720810304
