techs,costs,carriers,systemwide_levelised_cost
coal_USA,vul,coal,0.5000000000000002
el_import_FR,co2,electricity,56.999999999999964
el_import_FR,monetary,electricity,22.300000000000004
el_import_FR,vul,electricity,0.0
el_import_PT,co2,electricity,388.99999999999994
el_import_PT,monetary,electricity,0.28000000000000014
el_import_PT,vul,electricity,0.0
existing_biogas_to_electricity_supply,monetary,electricity,1.3317834945218598
existing_biomass,monetary,electricity,20.886984195271403
existing_ccgt,monetary,electricity,24.102615773798735
existing_chp,monetary,electricity,166.66820117541192
existing_coal,monetary,electricity,16.124239675078982
existing_hydro_reservoir,monetary,electricity,4.999999999999998
existing_hydro_run_of_river,monetary,electricity,119265852.43633105
existing_nuclear,monetary,electricity,17.69203696984724
existing_oil_and_other,monetary,electricity,962.3322989712093
existing_open_field_pv,monetary,electricity,1.5906397510078327
existing_pumped_hydro,monetary,electricity,1.913525339390807
existing_rooftop_pv,monetary,electricity,2.214310337939431
existing_wind_onshore,monetary,electricity,6.946294546302963
existing_wte,monetary,electricity,61.207904665929725
natural_gas_DEU,co2,natural_gas,1316.4999999999998
natural_gas_DEU,monetary,natural_gas,497.87999999999965
natural_gas_DEU,vul,natural_gas,0.5
natural_gas_DNK,co2,natural_gas,23.899999999999988
natural_gas_DNK,monetary,natural_gas,9.039999999999988
natural_gas_DNK,vul,natural_gas,0.5000000000000001
natural_gas_DZA,co2,natural_gas,9.609999999999994
natural_gas_DZA,monetary,natural_gas,3.634999999999997
natural_gas_DZA,vul,natural_gas,0.4999999999999999
natural_gas_NOR,co2,natural_gas,9.929999999999993
natural_gas_NOR,monetary,natural_gas,3.755
natural_gas_NOR,vul,natural_gas,0.5000000000000002
natural_gas_PT,co2,natural_gas,24.970000000000002
natural_gas_PT,monetary,natural_gas,9.446999999999997
natural_gas_PT,vul,natural_gas,0.5000000000000007
natural_gas_liquid_DZA,co2,natural_gas,12.62
natural_gas_liquid_DZA,monetary,natural_gas,4.319999999999999
natural_gas_liquid_DZA,vul,natural_gas,0.5
natural_gas_liquid_NGA,co2,natural_gas,13.540000000000008
natural_gas_liquid_NGA,monetary,natural_gas,5.119999999999998
natural_gas_liquid_NGA,vul,natural_gas,0.49999999999999994
natural_gas_liquid_RUS,co2,natural_gas,16.89
natural_gas_liquid_RUS,monetary,natural_gas,6.389999999999993
natural_gas_liquid_RUS,vul,natural_gas,0.5
natural_gas_liquid_USA,co2,natural_gas,23.720000000000027
natural_gas_liquid_USA,monetary,natural_gas,8.970000000000002
natural_gas_liquid_USA,vul,natural_gas,0.4999999999999996
oil_LBY,co2,oil,19.50000000000001
oil_LBY,monetary,oil,7.369999999999997
oil_LBY,vul,oil,0.4999999999999999
oil_MEX,co2,oil,16.500000000000004
oil_MEX,monetary,oil,6.250000000000003
oil_MEX,vul,oil,0.5000000000000001
oil_NGA,co2,oil,20.050000000000026
oil_NGA,monetary,oil,7.579999999999998
oil_NGA,vul,oil,0.5
oil_SA,co2,oil,19.14
oil_SA,monetary,oil,7.240000000000004
oil_SA,vul,oil,0.5000000000000004
oil_USA,co2,oil,20.96999999999998
oil_USA,monetary,oil,7.930000000000005
oil_USA,vul,oil,0.5000000000000002
open_field_pv_CN,co2,electricity,13.998754130558455
open_field_pv_CN,monetary,electricity,13.87867069732436
open_field_pv_CN,vul,electricity,1.073634271461425e-05
open_field_pv_DE,co2,electricity,2.4460847626969016
open_field_pv_DE,monetary,electricity,1.9950948925653789
open_field_pv_DE,vul,electricity,1.779311847395822e-07
open_field_pv_ESP,co2,electricity,4.443164506960686
open_field_pv_ESP,monetary,electricity,9.957889782625418
open_field_pv_ESP,vul,electricity,8.036253408726197e-07
open_field_pv_MY,co2,electricity,2.789710433201844
open_field_pv_MY,monetary,electricity,2.1120110263851952
open_field_pv_MY,vul,electricity,4.3544070285418126e-07
open_field_pv_NL,co2,electricity,1.8295730115997826
open_field_pv_NL,monetary,electricity,1.607005053434663
open_field_pv_NL,vul,electricity,0.0
open_field_pv_PT,co2,electricity,4.028833533486442
open_field_pv_PT,monetary,electricity,2.5249866017312765
open_field_pv_PT,vul,electricity,1.1575523750587925e-07
pumped_hydro_CN,co2,electricity,0.13454827810074255
pumped_hydro_CN,monetary,electricity,2.009710471622499
pumped_hydro_CN,vulnerability,electricity,1.152602759872273e-05
pumped_hydro_ESP,co2,electricity,0.035581957827951226
pumped_hydro_ESP,monetary,electricity,23.02712518112782
pumped_hydro_ESP,vul,electricity,1.0651999325024483e-05
roof_mounted_pv_CN,co2,electricity,14.742134303596826
roof_mounted_pv_CN,monetary,electricity,12.805319805327112
roof_mounted_pv_CN,vul,electricity,1.1305314654594609e-05
roof_mounted_pv_DE,co2,electricity,18.45943172511354
roof_mounted_pv_DE,monetary,electricity,13.337292108464716
roof_mounted_pv_DE,vul,electricity,1.3427615455351538e-06
roof_mounted_pv_ESP,co2,electricity,28.928051726345274
roof_mounted_pv_ESP,monetary,electricity,62.739838713730926
roof_mounted_pv_ESP,vul,electricity,5.2321527580051606e-06
roof_mounted_pv_MY,co2,electricity,20.85745098181786
roof_mounted_pv_MY,monetary,electricity,14.054267064584952
roof_mounted_pv_MY,vul,electricity,3.2556006556011894e-06
roof_mounted_pv_NL,co2,electricity,16.424391539216355
roof_mounted_pv_NL,monetary,electricity,12.723601832010019
roof_mounted_pv_NL,vul,electricity,7.981682221338727e-07
roof_mounted_pv_PT,co2,electricity,29.188623501828847
roof_mounted_pv_PT,monetary,electricity,16.50425923064908
roof_mounted_pv_PT,vul,electricity,8.38638781632663e-07
uranium_UK,co2,uranium,0.47999999999999987
uranium_UK,monetary,uranium,0.18299999999999994
uranium_UK,vul,uranium,0.4999999999999993
uranium_USA,co2,uranium,0.4600000000000003
uranium_USA,monetary,uranium,0.17999999999999997
uranium_USA,vul,uranium,0.49999999999999994
wind_offshore_CN,co2,electricity,6.981853386304793
wind_offshore_CN,monetary,electricity,21.332536466037425
wind_offshore_CN,vul,electricity,3.781103800016473e-06
wind_offshore_DE,co2,electricity,2.4038729096188076
wind_offshore_DE,monetary,electricity,19.84720520927145
wind_offshore_DE,vul,electricity,2.9516262461992035e-06
wind_offshore_ESP,co2,electricity,422.9652918685689
wind_offshore_ESP,monetary,electricity,2749.244105446005
wind_offshore_ESP,vul,electricity,3.605641661360389e-06
wind_offshore_FR,co2,electricity,1.8167478371923322
wind_offshore_FR,monetary,electricity,19.656547330833295
