techs,timesteps,nodes,sink_use_equals
demand_tech,2018-04-01 21:00:00,ESP_5,3834.434364523204
demand_tech,2018-04-01 21:00:00,ESP_6,13741.531141673848
demand_tech,2018-04-01 21:00:00,ESP_7,8367.513283550643
demand_tech,2018-04-01 21:00:00,ESP_8,4427.649424040843
demand_tech,2018-04-01 21:00:00,ESP_9,9561.801472348292
demand_tech,2018-04-02 00:00:00,ESP_1,5540.467790837323
demand_tech,2018-04-02 00:00:00,ESP_10,4305.644729901093
demand_tech,2018-04-02 00:00:00,ESP_11,10067.123937247423
demand_tech,2018-04-02 00:00:00,ESP_2,11078.477708189352
demand_tech,2018-04-02 00:00:00,ESP_3,2677.364507110482
demand_tech,2018-04-02 00:00:00,ESP_4,5413.703907005048
demand_tech,2018-04-02 00:00:00,ESP_5,3640.453930381573
demand_tech,2018-04-02 00:00:00,ESP_6,12687.602492685706
demand_tech,2018-04-02 00:00:00,ESP_7,7506.048130954783
demand_tech,2018-04-02 00:00:00,ESP_8,4079.234022684138
demand_tech,2018-04-02 00:00:00,ESP_9,8855.323182864511
demand_tech,2018-04-02 03:00:00,ESP_1,5539.936919709482
demand_tech,2018-04-02 03:00:00,ESP_10,4327.188780756083
demand_tech,2018-04-02 03:00:00,ESP_11,10057.83045072862
demand_tech,2018-04-02 03:00:00,ESP_2,11113.114834956225
demand_tech,2018-04-02 03:00:00,ESP_3,2710.222463834467
demand_tech,2018-04-02 03:00:00,ESP_4,5430.319700223692
demand_tech,2018-04-02 03:00:00,ESP_5,3643.793158814807
demand_tech,2018-04-02 03:00:00,ESP_6,12422.641946631547
demand_tech,2018-04-02 03:00:00,ESP_7,7424.340957046406
demand_tech,2018-04-02 03:00:00,ESP_8,4105.972994820037
demand_tech,2018-04-02 03:00:00,ESP_9,8881.13454840676
demand_tech,2018-04-02 06:00:00,ESP_1,6389.805941748439
demand_tech,2018-04-02 06:00:00,ESP_10,5311.6711389198645
demand_tech,2018-04-02 06:00:00,ESP_11,12361.356162216929
demand_tech,2018-04-02 06:00:00,ESP_2,11951.096242921789
demand_tech,2018-04-02 06:00:00,ESP_3,3278.907301771124
demand_tech,2018-04-02 06:00:00,ESP_4,6442.1998629916625
demand_tech,2018-04-02 06:00:00,ESP_5,4082.1041814352707
demand_tech,2018-04-02 06:00:00,ESP_6,14923.002963044572
demand_tech,2018-04-02 06:00:00,ESP_7,9599.31866936256
demand_tech,2018-04-02 06:00:00,ESP_8,4858.447509607745
demand_tech,2018-04-02 06:00:00,ESP_9,10558.774736051642
demand_tech,2018-04-02 09:00:00,ESP_1,6406.103192373316
demand_tech,2018-04-02 09:00:00,ESP_10,5359.856672572175
demand_tech,2018-04-02 09:00:00,ESP_11,12431.048438907306
demand_tech,2018-04-02 09:00:00,ESP_2,11954.735579378328
demand_tech,2018-04-02 09:00:00,ESP_3,3280.466059173107
demand_tech,2018-04-02 09:00:00,ESP_4,6396.201949483595
demand_tech,2018-04-02 09:00:00,ESP_5,4081.06175647554
demand_tech,2018-04-02 09:00:00,ESP_6,14906.193580737221
demand_tech,2018-04-02 09:00:00,ESP_7,9343.407596625777
demand_tech,2018-04-02 09:00:00,ESP_8,4901.755354315994
demand_tech,2018-04-02 09:00:00,ESP_9,10609.07769760757
demand_tech,2018-04-02 12:00:00,ESP_1,5726.485137070991
demand_tech,2018-04-02 12:00:00,ESP_10,4626.645965408343
demand_tech,2018-04-02 12:00:00,ESP_11,10613.526942456207
demand_tech,2018-04-02 12:00:00,ESP_2,11284.438128628652
demand_tech,2018-04-02 12:00:00,ESP_3,2827.61334291435
demand_tech,2018-04-02 12:00:00,ESP_4,5495.305372707246
demand_tech,2018-04-02 12:00:00,ESP_5,3718.909372546367
demand_tech,2018-04-02 12:00:00,ESP_6,12703.029026531778
demand_tech,2018-04-02 12:00:00,ESP_7,7092.085971134435
demand_tech,2018-04-02 12:00:00,ESP_8,4354.871094809981
demand_tech,2018-04-02 12:00:00,ESP_9,9285.271595814525
demand_tech,2018-04-02 15:00:00,ESP_1,6052.858544556738
demand_tech,2018-04-02 15:00:00,ESP_10,4947.264609142765
demand_tech,2018-04-02 15:00:00,ESP_11,11464.256265685748
demand_tech,2018-04-02 15:00:00,ESP_2,11600.480004052852
demand_tech,2018-04-02 15:00:00,ESP_3,3035.457942643125
demand_tech,2018-04-02 15:00:00,ESP_4,6001.186717260531
demand_tech,2018-04-02 15:00:00,ESP_5,3907.0341369744838
demand_tech,2018-04-02 15:00:00,ESP_6,13983.535935933469
demand_tech,2018-04-02 15:00:00,ESP_7,8532.539573456737
demand_tech,2018-04-02 15:00:00,ESP_8,4579.235722194226
demand_tech,2018-04-02 15:00:00,ESP_9,9889.715616949936
demand_tech,2018-04-02 18:00:00,ESP_1,5765.724716537981
demand_tech,2018-04-02 18:00:00,ESP_10,4710.213172570293
demand_tech,2018-04-02 18:00:00,ESP_11,10742.210406638005
demand_tech,2018-04-02 18:00:00,ESP_2,11335.386469851768
demand_tech,2018-04-02 18:00:00,ESP_3,2869.132735507749
demand_tech,2018-04-02 18:00:00,ESP_4,5491.66892358585
demand_tech,2018-04-02 18:00:00,ESP_5,3732.272207718377
demand_tech,2018-04-02 18:00:00,ESP_6,12593.821581811044
demand_tech,2018-04-02 18:00:00,ESP_7,6856.6951189253905
demand_tech,2018-04-02 18:00:00,ESP_8,4431.778693702804
demand_tech,2018-04-02 18:00:00,ESP_9,9401.917418432233
demand_tech,2018-04-02 21:00:00,ESP_1,6100.880155194849
demand_tech,2018-04-02 21:00:00,ESP_10,4975.062467449801
demand_tech,2018-04-02 21:00:00,ESP_11,11611.616421016617
demand_tech,2018-04-02 21:00:00,ESP_2,11638.877721166436
demand_tech,2018-04-02 21:00:00,ESP_3,3062.868299226648
demand_tech,2018-04-02 21:00:00,ESP_4,6067.340198461144
demand_tech,2018-04-02 21:00:00,ESP_5,3932.931582682922
demand_tech,2018-04-02 21:00:00,ESP_6,14282.963796100403
demand_tech,2018-04-02 21:00:00,ESP_7,8844.068021616022
demand_tech,2018-04-02 21:00:00,ESP_8,4598.381855074094
demand_tech,2018-04-02 21:00:00,ESP_9,9967.948427453912
demand_tech,2018-04-03 00:00:00,ESP_1,5763.334932850967
demand_tech,2018-04-03 00:00:00,ESP_10,4588.2232379903635
demand_tech,2018-04-03 00:00:00,ESP_11,10823.593605298483
demand_tech,2018-04-03 00:00:00,ESP_2,11312.498096216023
demand_tech,2018-04-03 00:00:00,ESP_3,2836.562875877604
demand_tech,2018-04-03 00:00:00,ESP_4,5723.745500348232
demand_tech,2018-04-03 00:00:00,ESP_5,3780.9383988161635
demand_tech,2018-04-03 00:00:00,ESP_6,13525.494442650801
demand_tech,2018-04-03 00:00:00,ESP_7,8177.894252241001
demand_tech,2018-04-03 00:00:00,ESP_8,4289.2685701285345
demand_tech,2018-04-03 00:00:00,ESP_9,9340.256234488761
demand_tech,2018-04-03 03:00:00,ESP_1,6016.015207065242
demand_tech,2018-04-03 03:00:00,ESP_10,4933.099741638445
demand_tech,2018-04-03 03:00:00,ESP_11,11696.949275669594
demand_tech,2018-04-03 03:00:00,ESP_2,11597.79929969352
demand_tech,2018-04-03 03:00:00,ESP_3,3036.013380223406
demand_tech,2018-04-03 03:00:00,ESP_4,6041.845784873594
demand_tech,2018-04-03 03:00:00,ESP_5,3927.8665085746543
demand_tech,2018-04-03 03:00:00,ESP_6,14147.735959340036
demand_tech,2018-04-03 03:00:00,ESP_7,8697.539231093746
demand_tech,2018-04-03 03:00:00,ESP_8,4551.40549177996
demand_tech,2018-04-03 03:00:00,ESP_9,9989.231665579366
demand_tech,2018-04-03 06:00:00,ESP_1,7019.694147467017
demand_tech,2018-04-03 06:00:00,ESP_10,6128.540661033683
demand_tech,2018-04-03 06:00:00,ESP_11,14481.402899362207
demand_tech,2018-04-03 06:00:00,ESP_2,12600.072617829252
demand_tech,2018-04-03 06:00:00,ESP_3,3721.4052572710625
demand_tech,2018-04-03 06:00:00,ESP_4,7232.071748828654
demand_tech,2018-04-03 06:00:00,ESP_5,4450.746841277545
demand_tech,2018-04-03 06:00:00,ESP_6,16991.753049002255
demand_tech,2018-04-03 06:00:00,ESP_7,11146.071263468692
demand_tech,2018-04-03 06:00:00,ESP_8,5471.7273511274
demand_tech,2018-04-03 06:00:00,ESP_9,12024.972797290764
demand_tech,2018-04-03 09:00:00,ESP_1,6989.0675086049305
demand_tech,2018-04-03 09:00:00,ESP_10,6106.439017021607
demand_tech,2018-04-03 09:00:00,ESP_11,14354.573526277858
demand_tech,2018-04-03 09:00:00,ESP_2,12549.560274977324
demand_tech,2018-04-03 09:00:00,ESP_3,3685.2961356789983
demand_tech,2018-04-03 09:00:00,ESP_4,7127.129529424021
demand_tech,2018-04-03 09:00:00,ESP_5,4416.788315314659
demand_tech,2018-04-03 09:00:00,ESP_6,16807.965058825175
demand_tech,2018-04-03 09:00:00,ESP_7,10773.022275363313
demand_tech,2018-04-03 09:00:00,ESP_8,5463.616506366925
demand_tech,2018-04-03 09:00:00,ESP_9,11947.631179020118
demand_tech,2018-04-03 12:00:00,ESP_1,6263.685224748169
demand_tech,2018-04-03 12:00:00,ESP_10,5307.127690209066
demand_tech,2018-04-03 12:00:00,ESP_11,12364.645459010353
demand_tech,2018-04-03 12:00:00,ESP_2,11831.65768084357
demand_tech,2018-04-03 12:00:00,ESP_3,3199.835256197873
demand_tech,2018-04-03 12:00:00,ESP_4,6181.20853214018
demand_tech,2018-04-03 12:00:00,ESP_5,4029.3401522075856
demand_tech,2018-04-03 12:00:00,ESP_6,14478.742053262707
demand_tech,2018-04-03 12:00:00,ESP_7,8467.097152786184
demand_tech,2018-04-03 12:00:00,ESP_8,4866.667328774149
demand_tech,2018-04-03 12:00:00,ESP_9,10497.220839631625
demand_tech,2018-04-03 15:00:00,ESP_1,6576.195594996773
demand_tech,2018-04-03 15:00:00,ESP_10,5612.715584380343
demand_tech,2018-04-03 15:00:00,ESP_11,13188.37969130585
demand_tech,2018-04-03 15:00:00,ESP_2,12134.230027364794
demand_tech,2018-04-03 15:00:00,ESP_3,3398.5040332314757
demand_tech,2018-04-03 15:00:00,ESP_4,6675.61636854585
demand_tech,2018-04-03 15:00:00,ESP_5,4211.37954960582
demand_tech,2018-04-03 15:00:00,ESP_6,15733.279608839479
demand_tech,2018-04-03 15:00:00,ESP_7,9878.289280961188
demand_tech,2018-04-03 15:00:00,ESP_8,5079.043290051841
demand_tech,2018-04-03 15:00:00,ESP_9,11074.311760895496
demand_tech,2018-04-03 18:00:00,ESP_1,6123.711545830586
demand_tech,2018-04-03 18:00:00,ESP_10,5179.0156627992255
demand_tech,2018-04-03 18:00:00,ESP_11,12022.760586558263
demand_tech,2018-04-03 18:00:00,ESP_2,11708.730248817232
demand_tech,2018-04-03 18:00:00,ESP_3,3122.642953884969
demand_tech,2018-04-03 18:00:00,ESP_4,5966.795018735917
demand_tech,2018-04-03 18:00:00,ESP_5,3952.887153223569
demand_tech,2018-04-03 18:00:00,ESP_6,13884.166614220023
demand_tech,2018-04-03 18:00:00,ESP_7,7820.408618774818
demand_tech,2018-04-03 18:00:00,ESP_8,4778.141851562617
demand_tech,2018-04-03 18:00:00,ESP_9,10254.244593317086
demand_tech,2018-04-03 21:00:00,ESP_1,6356.936117618545
demand_tech,2018-04-03 21:00:00,ESP_10,5289.213291373659
demand_tech,2018-04-03 21:00:00,ESP_11,12453.331857038827
demand_tech,2018-04-03 21:00:00,ESP_2,11899.680764834597
demand_tech,2018-04-03 21:00:00,ESP_3,3239.5220777773766
demand_tech,2018-04-03 21:00:00,ESP_4,6396.7382271465995
demand_tech,2018-04-03 21:00:00,ESP_5,4082.8373244227737
demand_tech,2018-04-03 21:00:00,ESP_6,15192.981242860244
demand_tech,2018-04-03 21:00:00,ESP_7,9531.835404410369
demand_tech,2018-04-03 21:00:00,ESP_8,4831.936023573085
demand_tech,2018-04-03 21:00:00,ESP_9,10535.418728149534
demand_tech,2018-04-04 00:00:00,ESP_1,6020.5199602268385
demand_tech,2018-04-04 00:00:00,ESP_10,4877.754983600427
demand_tech,2018-04-04 00:00:00,ESP_11,11553.428714476588
demand_tech,2018-04-04 00:00:00,ESP_2,11560.283069780939
demand_tech,2018-04-04 00:00:00,ESP_3,3003.528357385005
demand_tech,2018-04-04 00:00:00,ESP_4,6025.303277283878
demand_tech,2018-04-04 00:00:00,ESP_5,3917.6629521813875
demand_tech,2018-04-04 00:00:00,ESP_6,14402.15221471767
demand_tech,2018-04-04 00:00:00,ESP_7,8781.117253327004
demand_tech,2018-04-04 00:00:00,ESP_8,4506.944792425709
demand_tech,2018-04-04 00:00:00,ESP_9,9857.958408966773
demand_tech,2018-04-04 03:00:00,ESP_1,6164.007557480246
demand_tech,2018-04-04 03:00:00,ESP_10,5086.393936785873
demand_tech,2018-04-04 03:00:00,ESP_11,12146.538134141083
demand_tech,2018-04-04 03:00:00,ESP_2,11732.77954331395
