nodes,techs,costs,timesteps,cost_operation_variable
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 09:00:00,0.0003038263224154586
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 12:00:00,0.0005729851654636405
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 15:00:00,0.000809570264493619
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 18:00:00,0.000382428750642807
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 21:00:00,0.0002754099626454991
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 00:00:00,2.445293293430725e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 03:00:00,2.4383995560589303e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 06:00:00,2.4381350809767014e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 09:00:00,2.4346062597580304e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 12:00:00,2.4375445351677502e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 15:00:00,2.4430524723260476e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 18:00:00,0.0004832939498454819
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 21:00:00,0.001041293231872935
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 00:00:00,2.444322492608468e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 03:00:00,2.443643842391991e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 06:00:00,2.440665114498576e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 09:00:00,2.4340554095264003e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 12:00:00,2.4304324017531078e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 15:00:00,2.4344981610136852e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 18:00:00,2.438840016631699e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 21:00:00,2.4392619882902285e-05
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 21:00:00,0.0
