techs,costs,carriers,systemwide_levelised_cost
el_import_FR,co2,electricity,56.99999999999999
el_import_FR,monetary,electricity,22.3
el_import_FR,vul,electricity,0.0
el_import_PT,co2,electricity,389.00000000000006
el_import_PT,monetary,electricity,0.28
el_import_PT,vul,electricity,0.0
existing_biogas_to_electricity_supply,monetary,electricity,1.3532061137270397
existing_biomass,monetary,electricity,21.30880710767419
existing_ccgt,monetary,electricity,26.05948989515624
existing_chp,monetary,electricity,98.45336552234687
existing_coal,monetary,electricity,17.44462478348106
existing_hydro_reservoir,monetary,electricity,5.000000000000002
existing_hydro_run_of_river,monetary,electricity,3553761659.0479646
existing_nuclear,monetary,electricity,19.2146524148509
existing_oil_and_other,monetary,electricity,107272.61933598144
existing_open_field_pv,monetary,electricity,1.5858921073997587
existing_pumped_hydro,monetary,electricity,1.9899129794157444
existing_rooftop_pv,monetary,electricity,2.24548166217551
existing_wind_onshore,monetary,electricity,3.884891148236886
existing_wte,monetary,electricity,62.22820915920163
natural_gas_DEU,co2,natural_gas,1316.5
natural_gas_DEU,monetary,natural_gas,497.88000000000005
natural_gas_DEU,vul,natural_gas,0.4999999999999999
natural_gas_DNK,co2,natural_gas,23.899999999999995
natural_gas_DNK,monetary,natural_gas,9.040000000000001
natural_gas_DNK,vul,natural_gas,0.5
natural_gas_DZA,co2,natural_gas,9.609999999999998
natural_gas_DZA,monetary,natural_gas,3.635000000000001
natural_gas_DZA,vul,natural_gas,0.4999999999999999
natural_gas_NOR,co2,natural_gas,9.93
natural_gas_NOR,monetary,natural_gas,3.755
natural_gas_NOR,vul,natural_gas,0.5000000000000001
natural_gas_PT,co2,natural_gas,24.969999999999988
natural_gas_PT,monetary,natural_gas,9.446999999999997
natural_gas_PT,vul,natural_gas,0.5
natural_gas_liquid_DZA,co2,natural_gas,12.62
natural_gas_liquid_DZA,monetary,natural_gas,4.320000000000002
natural_gas_liquid_DZA,vul,natural_gas,0.5000000000000001
natural_gas_liquid_NGA,co2,natural_gas,13.540000000000001
natural_gas_liquid_NGA,monetary,natural_gas,5.120000000000001
natural_gas_liquid_NGA,vul,natural_gas,0.5000000000000001
natural_gas_liquid_RUS,co2,natural_gas,16.89
natural_gas_liquid_RUS,monetary,natural_gas,6.390000000000001
natural_gas_liquid_RUS,vul,natural_gas,0.4999999999999999
natural_gas_liquid_USA,co2,natural_gas,23.720000000000002
natural_gas_liquid_USA,monetary,natural_gas,8.970000000000002
natural_gas_liquid_USA,vul,natural_gas,0.49999999999999983
oil_LBY,co2,oil,19.499999999999996
oil_LBY,monetary,oil,7.370000000000004
oil_LBY,vul,oil,0.5000000000000001
oil_MEX,co2,oil,16.5
oil_MEX,monetary,oil,6.249999999999998
oil_MEX,vul,oil,0.5
oil_NGA,co2,oil,20.049999999999997
oil_NGA,monetary,oil,7.579999999999999
oil_NGA,vul,oil,0.49999999999999983
oil_SA,co2,oil,19.139999999999997
oil_SA,monetary,oil,7.239999999999999
oil_SA,vul,oil,0.5
oil_USA,co2,oil,20.970000000000002
oil_USA,monetary,oil,7.930000000000002
oil_USA,vul,oil,0.4999999999999999
open_field_pv_CN,co2,electricity,11.790084615603842
open_field_pv_CN,monetary,electricity,33.274168029608646
open_field_pv_CN,vul,electricity,3.033189808556375e-05
open_field_pv_DE,co2,electricity,0.7032059216192859
open_field_pv_DE,monetary,electricity,1.5699630279661585
open_field_pv_DE,vul,electricity,1.7158478432991377e-07
open_field_pv_ESP,co2,electricity,1.2518362103400977
open_field_pv_ESP,monetary,electricity,5.0671360172493785
open_field_pv_ESP,vul,electricity,7.594941364114046e-07
open_field_pv_MY,co2,electricity,0.8060792863391405
open_field_pv_MY,monetary,electricity,1.6413081216340761
open_field_pv_MY,vul,electricity,4.2204945399317967e-07
open_field_pv_NL,co2,electricity,0.5351837032411858
open_field_pv_NL,monetary,electricity,1.3074406862353056
open_field_pv_NL,vul,electricity,0.0
open_field_pv_PT,co2,electricity,1.1577235124732075
open_field_pv_PT,monetary,electricity,1.851126533353233
open_field_pv_PT,vul,electricity,1.1157884627482525e-07
pumped_hydro_CN,co2,electricity,0.13450643083089076
pumped_hydro_CN,monetary,electricity,2.0090854105097358
pumped_hydro_CN,vulnerability,electricity,1.1522442768102441e-05
pumped_hydro_ESP,co2,electricity,0.0364199496077711
pumped_hydro_ESP,monetary,electricity,23.56943771232615
pumped_hydro_ESP,vul,electricity,1.0902864887739679e-05
roof_mounted_pv_CN,co2,electricity,17.26818990309181
roof_mounted_pv_CN,monetary,electricity,41.62224894286522
roof_mounted_pv_CN,vul,electricity,4.442063809100321e-05
roof_mounted_pv_DE,co2,electricity,15.544123659931438
roof_mounted_pv_DE,monetary,electricity,29.848677133556652
roof_mounted_pv_DE,vul,electricity,3.792822306793412e-06
roof_mounted_pv_ESP,co2,electricity,21.855106214294608
roof_mounted_pv_ESP,monetary,electricity,83.16045261449833
roof_mounted_pv_ESP,vul,electricity,1.3259582110902237e-05
roof_mounted_pv_MY,co2,electricity,17.43853104058149
roof_mounted_pv_MY,monetary,electricity,30.63806630764373
roof_mounted_pv_MY,vul,electricity,9.130519328372873e-06
roof_mounted_pv_NL,co2,electricity,13.924919663480473
roof_mounted_pv_NL,monetary,electricity,29.175708684763368
roof_mounted_pv_NL,vul,electricity,2.2699355552172915e-06
roof_mounted_pv_PT,co2,electricity,23.915454337345913
roof_mounted_pv_PT,monetary,electricity,33.32213568451035
roof_mounted_pv_PT,vul,electricity,2.3049188984671995e-06
uranium_UK,co2,uranium,0.48
uranium_UK,monetary,uranium,0.18299999999999988
uranium_UK,vul,uranium,0.5000000000000003
uranium_USA,co2,uranium,0.45999999999999996
uranium_USA,monetary,uranium,0.17999999999999997
uranium_USA,vul,uranium,0.5
wind_offshore_CN,co2,electricity,1.7392903245285247
wind_offshore_CN,monetary,electricity,13.535696180968714
wind_offshore_CN,vul,electricity,2.510084399836085e-06
wind_offshore_DE,co2,electricity,0.6023335986594309
wind_offshore_DE,monetary,electricity,13.035609062172746
wind_offshore_DE,vul,electricity,1.9708579237596717e-06
wind_offshore_ESP,co2,electricity,107.63739593139982
wind_offshore_ESP,monetary,electricity,962.6124318782032
wind_offshore_ESP,vul,electricity,2.445171824389863e-06
wind_offshore_FR,co2,electricity,0.45559676675246663
wind_offshore_FR,monetary,electricity,12.97200083684361
wind_offshore_FR,vul,electricity,2.6261450082281846e-07
wind_offshore_IND,co2,electricity,1.76194768175874
wind_offshore_IND,monetary,electricity,13.54544018379928
wind_offshore_IND,vul,electricity,1.9818245044452604e-06
wind_offshore_NDL,co2,electricity,0.23410558165134332
wind_offshore_NDL,monetary,electricity,12.878076803390472
wind_offshore_NDL,vul,electricity,2.62406077062538e-07
wind_offshore_PT,co2,electricity,0.4132862428241747
wind_offshore_PT,monetary,electricity,12.953858620184214
wind_offshore_PT,vul,electricity,9.189973633320276e-07
wind_onshore_competing_CN,co2,electricity,2.2773743151030006
wind_onshore_competing_CN,monetary,electricity,9.50821377317841
wind_onshore_competing_CN,vul,electricity,3.2866288395394792e-06
wind_onshore_competing_DE,co2,electricity,0.7852402679425202
wind_onshore_competing_DE,monetary,electricity,8.859356032903014
