nodes,techs,carriers,timesteps,flow_out_transmission_techs
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 00:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 03:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 06:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 09:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 12:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 15:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 18:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 21:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 00:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 03:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 06:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 09:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 12:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 15:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 18:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 21:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 00:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 03:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 06:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 09:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 12:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 15:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 18:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 21:00:00,0.0
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-04 00:00:00,0.0
