nodes,techs,carriers,flow_cap
ESP_10,biogas_to_electricity_supply_UK,electricity,1.3879971192017585e-06
ESP_10,biogas_to_electricity_supply_USA,electricity,1.9309391114875027e-06
ESP_10,biomass_ESP,electricity,7.825429040051041e-07
ESP_10,biomass_FR,electricity,7.817364663368866e-07
ESP_10,biomass_IT,electricity,7.763982076514584e-07
ESP_10,demand_tech,electricity,2216.014847944396
ESP_10,existing_biogas_to_electricity_supply,electricity,2.07
ESP_10,existing_biomass,electricity,6.28
ESP_10,existing_ccgt,electricity,2.573941406569798e-06
ESP_10,existing_ccgt,natural_gas,2.5739414065697954e-06
ESP_10,existing_chp,electricity,3252.0
ESP_10,existing_chp,natural_gas,3252.0
ESP_10,existing_coal,coal,0.0
ESP_10,existing_coal,electricity,0.0
ESP_10,existing_hydro_reservoir,electricity,0.0
ESP_10,existing_hydro_run_of_river,electricity,24.17
ESP_10,existing_nuclear,electricity,0.0
ESP_10,existing_nuclear,uranium,0.0
ESP_10,existing_oil_and_other,electricity,0.0
ESP_10,existing_oil_and_other,oil,0.0
ESP_10,existing_open_field_pv,electricity,420.69
ESP_10,existing_pumped_hydro,electricity,0.0
ESP_10,existing_rooftop_pv,electricity,16.41
ESP_10,existing_wind_onshore,electricity,262.776
ESP_10,existing_wte,electricity,4.31809672087947e-07
ESP_10,open_field_pv_CN,electricity,8.80391583370774e-06
ESP_10,open_field_pv_DE,electricity,0.0005959101449676152
ESP_10,open_field_pv_ESP,electricity,6.390880727402514e-06
ESP_10,open_field_pv_MY,electricity,0.00024939024520487696
ESP_10,open_field_pv_NL,electricity,1193.5170460105703
ESP_10,open_field_pv_PT,electricity,8.275664269692678e-05
ESP_10,pumped_hydro_CN,electricity,0.0
ESP_10,pumped_hydro_ESP,electricity,0.0
ESP_10,roof_mounted_pv_CN,electricity,9.483523325663424e-06
ESP_10,roof_mounted_pv_DE,electricity,9.332663973463624e-06
ESP_10,roof_mounted_pv_ESP,electricity,3.4348777711468076e-06
ESP_10,roof_mounted_pv_MY,electricity,9.106216428697291e-06
ESP_10,roof_mounted_pv_NL,electricity,9.541794029971364e-06
ESP_10,roof_mounted_pv_PT,electricity,8.40147563518966e-06
ESP_10,wind_offshore_CN,electricity,5.525501553827918e-06
ESP_10,wind_offshore_DE,electricity,5.743044181539282e-06
ESP_10,wind_offshore_ESP,electricity,0.0
ESP_10,wind_offshore_FR,electricity,5.773853279477971e-06
ESP_10,wind_offshore_IND,electricity,5.521529992920024e-06
ESP_10,wind_offshore_NDL,electricity,5.812826741596164e-06
ESP_10,wind_offshore_PT,electricity,5.782921052231856e-06
ESP_10,wind_onshore_competing_CN,electricity,1.2119804143686315e-05
ESP_10,wind_onshore_competing_DE,electricity,1.3071004674852306e-05
ESP_10,wind_onshore_competing_ESP,electricity,0.0
ESP_10,wind_onshore_competing_FR,electricity,1.3205872278336912e-05
ESP_10,wind_onshore_competing_IND,electricity,1.1050715199742353e-05
ESP_10,wind_onshore_competing_NDL,electricity,1.3401518665269668e-05
ESP_10,wind_onshore_competing_PT,electricity,1.3245463120328636e-05
ESP_10,wind_onshore_monopoly_CN,electricity,1.0241349798806798e-05
ESP_10,wind_onshore_monopoly_DE,electricity,1.0925234784862618e-05
ESP_10,wind_onshore_monopoly_ESP,electricity,1.119601252086567e-05
ESP_10,wind_onshore_monopoly_FR,electricity,1.1016246290602849e-05
ESP_10,wind_onshore_monopoly_IND,electricity,1.022921082238016e-05
