techs,timesteps,nodes,sink_use_equals
demand_tech,2018-01-01 21:00:00,ESP_5,3766.8555348401924
demand_tech,2018-01-01 21:00:00,ESP_6,13375.712163242068
demand_tech,2018-01-01 21:00:00,ESP_7,7749.872950872869
demand_tech,2018-01-01 21:00:00,ESP_8,4345.165269725898
demand_tech,2018-01-01 21:00:00,ESP_9,9358.125807054737
demand_tech,2018-01-02 00:00:00,ESP_1,5523.276504116626
demand_tech,2018-01-02 00:00:00,ESP_10,4071.383395119592
demand_tech,2018-01-02 00:00:00,ESP_11,9657.914831477778
demand_tech,2018-01-02 00:00:00,ESP_2,11010.240937643728
demand_tech,2018-01-02 00:00:00,ESP_3,2588.1454192957663
demand_tech,2018-01-02 00:00:00,ESP_4,5271.656463285966
demand_tech,2018-01-02 00:00:00,ESP_5,3558.988313265073
demand_tech,2018-01-02 00:00:00,ESP_6,12252.010231002576
demand_tech,2018-01-02 00:00:00,ESP_7,7011.848003969208
demand_tech,2018-01-02 00:00:00,ESP_8,3908.721179020991
demand_tech,2018-01-02 00:00:00,ESP_9,8360.682297339528
demand_tech,2018-01-02 03:00:00,ESP_1,5385.536568996116
demand_tech,2018-01-02 03:00:00,ESP_10,3851.610991796303
demand_tech,2018-01-02 03:00:00,ESP_11,9135.758614152768
demand_tech,2018-01-02 03:00:00,ESP_2,10865.458137853573
demand_tech,2018-01-02 03:00:00,ESP_3,2473.912555021922
demand_tech,2018-01-02 03:00:00,ESP_4,5049.85237095477
demand_tech,2018-01-02 03:00:00,ESP_5,3466.235327827097
demand_tech,2018-01-02 03:00:00,ESP_6,11592.94761634913
demand_tech,2018-01-02 03:00:00,ESP_7,6285.070582401711
demand_tech,2018-01-02 03:00:00,ESP_8,3752.7628333403895
demand_tech,2018-01-02 03:00:00,ESP_9,7929.894464367875
demand_tech,2018-01-02 06:00:00,ESP_1,6556.081397748775
demand_tech,2018-01-02 06:00:00,ESP_10,5197.257286866625
demand_tech,2018-01-02 06:00:00,ESP_11,12267.194956081416
demand_tech,2018-01-02 06:00:00,ESP_2,12018.166406713422
demand_tech,2018-01-02 06:00:00,ESP_3,3252.951464505046
demand_tech,2018-01-02 06:00:00,ESP_4,6394.14952937336
demand_tech,2018-01-02 06:00:00,ESP_5,4052.9823377641023
demand_tech,2018-01-02 06:00:00,ESP_6,14769.603473550414
demand_tech,2018-01-02 06:00:00,ESP_7,8994.87058398614
demand_tech,2018-01-02 06:00:00,ESP_8,4795.031041347658
demand_tech,2018-01-02 06:00:00,ESP_9,10194.729046011667
demand_tech,2018-01-02 09:00:00,ESP_1,7267.688886367884
demand_tech,2018-01-02 09:00:00,ESP_10,6046.728633110139
demand_tech,2018-01-02 09:00:00,ESP_11,14298.098865171018
demand_tech,2018-01-02 09:00:00,ESP_2,12717.754012754182
demand_tech,2018-01-02 09:00:00,ESP_3,3732.6346198351803
demand_tech,2018-01-02 09:00:00,ESP_4,7256.007986506543
demand_tech,2018-01-02 09:00:00,ESP_5,4422.117692765474
demand_tech,2018-01-02 09:00:00,ESP_6,16934.500982888192
