nodes,techs,timesteps,storage
ESP_1,battery_CZ,2018-01-01 03:00:00,0.003441351839699163
ESP_1,battery_CZ,2018-01-01 06:00:00,0.0036006109159626284
ESP_1,battery_CZ,2018-01-01 09:00:00,0.003750718861401617
ESP_1,battery_CZ,2018-01-01 12:00:00,0.0038920896578065866
ESP_1,battery_CZ,2018-01-01 15:00:00,0.004025369535652485
ESP_1,battery_CZ,2018-01-01 18:00:00,0.004150449948696186
ESP_1,battery_CZ,2018-01-01 21:00:00,0.004271045486246775
ESP_1,battery_CZ,2018-01-02 00:00:00,0.004388801679445331
ESP_1,battery_CZ,2018-01-02 03:00:00,0.0045035209199116005
ESP_1,battery_CZ,2018-01-02 06:00:00,0.00461707586669253
ESP_1,battery_CZ,2018-01-02 09:00:00,0.004725256011248333
ESP_1,battery_CZ,2018-01-02 12:00:00,0.004831947407862287
ESP_1,battery_CZ,2018-01-02 15:00:00,0.004939648141179025
ESP_1,battery_CZ,2018-01-02 18:00:00,0.005051438898344349
ESP_1,battery_CZ,2018-01-02 21:00:00,0.005166120401740202
ESP_1,battery_CZ,2018-01-03 00:00:00,0.005284112345772479
ESP_1,battery_CZ,2018-01-03 03:00:00,0.0054052263321286795
ESP_1,battery_CZ,2018-01-03 06:00:00,0.005526693317354111
ESP_1,battery_CZ,2018-01-03 09:00:00,0.0056516022327947855
ESP_1,battery_CZ,2018-01-03 12:00:00,0.00578420883664103
ESP_1,battery_CZ,2018-01-03 15:00:00,0.00592624613423352
ESP_1,battery_CZ,2018-01-03 18:00:00,0.006080371347178646
ESP_1,battery_CZ,2018-01-03 21:00:00,0.006245778605515671
ESP_1,battery_CZ,2018-01-04 00:00:00,0.006422729214559915
ESP_1,battery_CZ,2018-01-04 03:00:00,0.0066130133181523405
ESP_1,battery_CZ,2018-01-04 06:00:00,0.006818478662250918
ESP_1,battery_CZ,2018-01-04 09:00:00,0.007039180405801031
ESP_1,battery_CZ,2018-01-04 12:00:00,0.00727802636100886
ESP_1,battery_CZ,2018-01-04 15:00:00,0.007534846566442214
ESP_1,battery_CZ,2018-01-04 18:00:00,0.007813367320579422
ESP_1,battery_CZ,2018-01-04 21:00:00,0.008114917647560834
ESP_1,battery_CZ,2018-01-05 00:00:00,0.008443881582101995
ESP_1,battery_CZ,2018-01-05 03:00:00,0.008804845741926345
ESP_1,battery_CZ,2018-01-05 06:00:00,0.009201272872187784
ESP_1,battery_CZ,2018-01-05 09:00:00,0.008475661082137414
ESP_1,battery_CZ,2018-01-05 12:00:00,0.008953142730693756
ESP_1,battery_CZ,2018-01-05 15:00:00,0.009454836063435466
ESP_1,battery_CZ,2018-01-05 18:00:00,0.008734816946076689
ESP_1,battery_CZ,2018-01-05 21:00:00,0.008004469665441103
ESP_1,battery_CZ,2018-01-06 00:00:00,0.007273722920008181
ESP_1,battery_CZ,2018-01-06 03:00:00,0.006542954505397788
ESP_1,battery_CZ,2018-01-06 06:00:00,0.00581132661289928
ESP_1,battery_CZ,2018-01-06 09:00:00,0.005081049012483511
ESP_1,battery_CZ,2018-01-06 12:00:00,0.004399372659693141
ESP_1,battery_CZ,2018-01-06 15:00:00,0.0036811802887582205
ESP_1,battery_CZ,2018-01-06 18:00:00,0.0031902374234300084
ESP_1,battery_CZ,2018-01-06 21:00:00,0.0024714927214682146
ESP_1,battery_CZ,2018-01-07 00:00:00,0.003059532966408235
ESP_1,battery_CZ,2018-01-07 03:00:00,0.0036479697677586917
ESP_1,battery_CZ,2018-01-07 06:00:00,0.004236162428336373
ESP_1,battery_CZ,2018-01-07 09:00:00,0.004824314310586246
ESP_1,battery_CZ,2018-01-07 12:00:00,0.005412711106988946
ESP_1,battery_CZ,2018-01-07 15:00:00,0.0060009111467415315
ESP_1,battery_CZ,2018-01-07 18:00:00,0.006588447595732941
ESP_1,battery_CZ,2018-01-07 21:00:00,0.005864332909459754
ESP_1,battery_CZ,2018-01-08 00:00:00,0.00513750501352855
ESP_1,battery_CZ,2018-01-08 03:00:00,0.004406732104071744
ESP_1,battery_CZ,2018-01-08 06:00:00,0.0036757905103387686
ESP_1,battery_CZ,2018-01-08 09:00:00,0.002944490142171229
ESP_1,battery_CZ,2018-01-08 12:00:00,0.002214482202672974
ESP_1,battery_CZ,2018-01-08 15:00:00,0.001485001364662013
ESP_1,battery_CZ,2018-01-08 18:00:00,0.0007566899422681412
ESP_1,battery_CZ,2018-01-08 21:00:00,4.9329467732650356e-05
ESP_1,battery_CZ,2018-01-09 00:00:00,0.0005140726284449766
ESP_1,battery_CZ,2018-01-09 03:00:00,0.0009506598762513523
ESP_1,battery_CZ,2018-01-09 06:00:00,0.001367597005821833
ESP_1,battery_CZ,2018-01-09 09:00:00,0.0017693643545463283
ESP_1,battery_CZ,2018-01-09 12:00:00,0.002160727582476974
ESP_1,battery_CZ,2018-01-09 15:00:00,0.002536305846460067
ESP_1,battery_CZ,2018-01-09 18:00:00,0.0018090264578902882
ESP_1,battery_CZ,2018-01-09 21:00:00,0.0010829139774677058
ESP_1,battery_CZ,2018-01-10 00:00:00,0.0014040473281216178
ESP_1,battery_CZ,2018-01-10 03:00:00,0.0017013998686110868
ESP_1,battery_CZ,2018-01-10 06:00:00,0.001978972480450927
ESP_1,battery_CZ,2018-01-10 09:00:00,0.002236367184626829
ESP_1,battery_CZ,2018-01-10 12:00:00,0.0024766759545204325
ESP_1,battery_CZ,2018-01-10 15:00:00,0.00269878322781842
ESP_1,battery_CZ,2018-01-10 18:00:00,0.002902457378666786
ESP_1,battery_CZ,2018-01-10 21:00:00,0.003090868787986492
ESP_1,battery_ESP,2018-01-01 00:00:00,0.0016668838926334338
ESP_1,battery_ESP,2018-01-01 03:00:00,0.001750747261455268
ESP_1,battery_ESP,2018-01-01 06:00:00,0.001830360363939043
ESP_1,battery_ESP,2018-01-01 09:00:00,0.001906256352973086
ESP_1,battery_ESP,2018-01-01 12:00:00,0.0019783290039075115
ESP_1,battery_ESP,2018-01-01 15:00:00,0.0020473165235566576
ESP_1,battery_ESP,2018-01-01 18:00:00,0.0021134734639766204
ESP_1,battery_ESP,2018-01-01 21:00:00,0.0021775174841516653
ESP_1,battery_ESP,2018-01-02 00:00:00,0.0022398538977521625
ESP_1,battery_ESP,2018-01-02 03:00:00,0.0023007937342902603
ESP_1,battery_ESP,2018-01-02 06:00:00,0.0023611371243378084
ESP_1,battery_ESP,2018-01-02 09:00:00,0.0024203669649641175
ESP_1,battery_ESP,2018-01-02 12:00:00,0.002479133820516945
ESP_1,battery_ESP,2018-01-02 15:00:00,0.002538234497492611
ESP_1,battery_ESP,2018-01-02 18:00:00,0.0025980902245348785
ESP_1,battery_ESP,2018-01-02 21:00:00,0.0026589841541845025
ESP_1,battery_ESP,2018-01-03 00:00:00,0.002721174103466166
ESP_1,battery_ESP,2018-01-03 03:00:00,0.002784974596049217
ESP_1,battery_ESP,2018-01-03 06:00:00,0.0028505861354722623
ESP_1,battery_ESP,2018-01-03 09:00:00,0.002918602101963914
ESP_1,battery_ESP,2018-01-03 12:00:00,0.0029895274843761456
ESP_1,battery_ESP,2018-01-03 15:00:00,0.0030641562553699814
ESP_1,battery_ESP,2018-01-03 18:00:00,0.0031428817065792
ESP_1,battery_ESP,2018-01-03 21:00:00,0.0032261183791984114
ESP_1,battery_ESP,2018-01-04 00:00:00,0.0033142098874232124
ESP_1,battery_ESP,2018-01-04 03:00:00,0.0034077406561937897
ESP_1,battery_ESP,2018-01-04 06:00:00,0.0035075361568903908
ESP_1,battery_ESP,2018-01-04 09:00:00,0.0036139785546111967
ESP_1,battery_ESP,2018-01-04 12:00:00,0.003727355944299588
ESP_1,battery_ESP,2018-01-04 15:00:00,0.0038486824332054125
ESP_1,battery_ESP,2018-01-04 18:00:00,0.0039784593083062
ESP_1,battery_ESP,2018-01-04 21:00:00,0.004117523416902033
ESP_1,battery_ESP,2018-01-05 00:00:00,0.004266753041234035
ESP_1,battery_ESP,2018-01-05 03:00:00,0.0044272772248757225
ESP_1,battery_ESP,2018-01-05 06:00:00,0.004601078745626076
ESP_1,battery_ESP,2018-01-05 09:00:00,0.004281415154593682
ESP_1,battery_ESP,2018-01-05 12:00:00,0.004479770604995614
ESP_1,battery_ESP,2018-01-05 15:00:00,0.004689644570848497
ESP_1,battery_ESP,2018-01-05 18:00:00,0.00437089139690639
ESP_1,battery_ESP,2018-01-05 21:00:00,0.004047908405423841
ESP_1,battery_ESP,2018-01-06 00:00:00,0.003724537972481408
ESP_1,battery_ESP,2018-01-06 03:00:00,0.0034013155701049817
ESP_1,battery_ESP,2018-01-06 06:00:00,0.0030774888799702717
ESP_1,battery_ESP,2018-01-06 09:00:00,0.0027549347372124913
ESP_1,battery_ESP,2018-01-06 12:00:00,0.0024378986272487694
ESP_1,battery_ESP,2018-01-06 15:00:00,0.002117093800665492
ESP_1,battery_ESP,2018-01-06 18:00:00,0.0018015519585193335
ESP_1,battery_ESP,2018-01-06 21:00:00,0.0014810380658841407
ESP_1,battery_ESP,2018-01-07 00:00:00,0.0017086658269613235
ESP_1,battery_ESP,2018-01-07 03:00:00,0.0019359725778306204
ESP_1,battery_ESP,2018-01-07 06:00:00,0.002162903037144493
ESP_1,battery_ESP,2018-01-07 09:00:00,0.0023896594104589938
ESP_1,battery_ESP,2018-01-07 12:00:00,0.0026165369011596695
ESP_1,battery_ESP,2018-01-07 15:00:00,0.002843336547438541
ESP_1,battery_ESP,2018-01-07 18:00:00,0.0030700779930878594
ESP_1,battery_ESP,2018-01-07 21:00:00,0.0027495331287545836
ESP_1,battery_ESP,2018-01-08 00:00:00,0.0024285816920189256
ESP_1,battery_ESP,2018-01-08 03:00:00,0.0021052036559485827
ESP_1,battery_ESP,2018-01-08 06:00:00,0.001781717284114013
ESP_1,battery_ESP,2018-01-08 09:00:00,0.0014579568132181194
ESP_1,battery_ESP,2018-01-08 12:00:00,0.001135389495489872
ESP_1,battery_ESP,2018-01-08 15:00:00,0.0008126889003354963
ESP_1,battery_ESP,2018-01-08 18:00:00,0.0004914998546879747
ESP_1,battery_ESP,2018-01-08 21:00:00,0.0001723409783961956
ESP_1,battery_ESP,2018-01-09 00:00:00,0.0003738959636285042
ESP_1,battery_ESP,2018-01-09 03:00:00,0.0005656879474691971
ESP_1,battery_ESP,2018-01-09 06:00:00,0.0007501133230643623
ESP_1,battery_ESP,2018-01-09 09:00:00,0.0009288365206398526
ESP_1,battery_ESP,2018-01-09 12:00:00,0.0011021435861582481
ESP_1,battery_ESP,2018-01-09 15:00:00,0.0012709184127028183
ESP_1,battery_ESP,2018-01-09 18:00:00,0.0009493117897812176
ESP_1,battery_ESP,2018-01-09 21:00:00,0.0006304772161521777
ESP_1,battery_ESP,2018-01-10 00:00:00,0.0007778712449081459
ESP_1,battery_ESP,2018-01-10 03:00:00,0.0009152369226892894
