nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 09:00:00,3.1937878099275756e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 12:00:00,3.1981126904992304e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 15:00:00,3.207698130502151e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 18:00:00,5.2550478409441094e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-09 21:00:00,5.0809468488617726e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 00:00:00,3.199502853743517e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 03:00:00,3.198257527284656e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 06:00:00,3.199181777169494e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 09:00:00,3.1978833734306614e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 12:00:00,3.1956157264567055e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 15:00:00,3.2017434663228664e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 18:00:00,3.204551667089298e-05
ESP_1,biogas_to_electricity_supply_BEL,2018-01-10 21:00:00,3.204974666638226e-05
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 00:00:00,1.3709403830029078e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 03:00:00,1.3710306778650238e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 06:00:00,1.370916938077521e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 09:00:00,1.3710240176109063e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 12:00:00,1.3711095419775828e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 15:00:00,1.3710907175322763e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 18:00:00,1.370805545974991e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-01 21:00:00,1.370788998267804e-06
