techs,costs,carriers,systemwide_levelised_cost
existing_hydro_reservoir,monetary,electricity,4.999999999999999
existing_hydro_run_of_river,monetary,electricity,3179032877.8281612
existing_nuclear,monetary,electricity,19.214763113133777
existing_oil_and_other,monetary,electricity,434088.69726981653
existing_open_field_pv,monetary,electricity,1.5550138890107514
existing_pumped_hydro,monetary,electricity,2.0576300870389197
existing_rooftop_pv,monetary,electricity,2.025784405295415
existing_wind_onshore,monetary,electricity,3.8296647856432715
existing_wte,monetary,electricity,59.392923923599135
natural_gas_DZA,co2,natural_gas,9.609999999999998
natural_gas_DZA,monetary,natural_gas,3.6349999999999993
natural_gas_DZA,vul,natural_gas,0.4999999999999999
oil_MEX,co2,oil,16.5
oil_MEX,monetary,oil,6.25
oil_MEX,vul,oil,0.5000000000000001
open_field_pv_CN,co2,electricity,1026.9428244336373
open_field_pv_CN,monetary,electricity,2898.2546954567083
open_field_pv_CN,vul,electricity,0.0033024704768866847
open_field_pv_DE,co2,electricity,0.6905997039260323
open_field_pv_DE,monetary,electricity,1.5418186465091206
open_field_pv_DE,vul,electricity,1.6850882168851283e-06
open_field_pv_ESP,co2,electricity,1.2152599481592181
open_field_pv_ESP,monetary,electricity,4.919083984609471
open_field_pv_ESP,vul,electricity,2.3040724028500265e-06
open_field_pv_MY,co2,electricity,0.7944511367344764
open_field_pv_MY,monetary,electricity,1.6176313236947708
open_field_pv_MY,vul,electricity,1.7331714663259224e-06
open_field_pv_NL,co2,electricity,0.5258693700219844
open_field_pv_NL,monetary,electricity,1.2846859981867251
open_field_pv_NL,vul,electricity,1.428721085722782e-06
open_field_pv_PT,co2,electricity,1.1405486309443387
open_field_pv_PT,monetary,electricity,1.8236649861334053
open_field_pv_PT,vul,electricity,1.8320594826830592e-06
pumped_hydro_CN,co2,electricity,0.13276253852304223
pumped_hydro_CN,monetary,electricity,1.983037372720349
pumped_hydro_CN,vulnerability,electricity,1.1373052889962102e-05
pumped_hydro_ESP,co2,electricity,0.03539694072922939
pumped_hydro_ESP,monetary,electricity,22.907390007658247
pumped_hydro_ESP,vul,electricity,1.0596611647364017e-05
roof_mounted_pv_CN,co2,electricity,4075.7691438100774
roof_mounted_pv_CN,monetary,electricity,9823.998860872945
roof_mounted_pv_CN,vul,electricity,0.013105619863438129
roof_mounted_pv_DE,co2,electricity,3722.8040507232267
roof_mounted_pv_DE,monetary,electricity,7148.732123636783
roof_mounted_pv_DE,vul,electricity,0.009083776323654263
roof_mounted_pv_ESP,co2,electricity,4739.2731664424155
roof_mounted_pv_ESP,monetary,electricity,18033.31897455244
roof_mounted_pv_ESP,vul,electricity,0.008985426145992747
roof_mounted_pv_MY,co2,electricity,4162.563164809679
roof_mounted_pv_MY,monetary,electricity,7313.2814889287665
roof_mounted_pv_MY,vul,electricity,0.009081031381844056
roof_mounted_pv_NL,co2,electricity,3344.3252023303085
roof_mounted_pv_NL,monetary,electricity,7007.082281860246
roof_mounted_pv_NL,vul,electricity,0.009086111887223377
roof_mounted_pv_PT,co2,electricity,5647.599553615622
roof_mounted_pv_PT,monetary,electricity,7868.97359183705
roof_mounted_pv_PT,vul,electricity,0.009071720429870084
uranium_USA,co2,uranium,0.4600000000000001
uranium_USA,monetary,uranium,0.18000000000000008
uranium_USA,vul,uranium,0.5000000000000002
wind_offshore_CN,co2,electricity,1.6439807070525163
wind_offshore_CN,monetary,electricity,12.79396720847569
wind_offshore_CN,vul,electricity,6.243517933434036e-06
wind_offshore_DE,co2,electricity,0.5695749549301035
wind_offshore_DE,monetary,electricity,12.32665164387014
wind_offshore_DE,vul,electricity,6.212234746091045e-06
wind_offshore_ESP,co2,electricity,107.0944103352769
wind_offshore_ESP,monetary,electricity,957.7564551924439
wind_offshore_ESP,vul,electricity,7.6026154884276535e-06
wind_offshore_FR,co2,electricity,0.43080255981062554
wind_offshore_FR,monetary,electricity,12.266046588109484
wind_offshore_FR,vul,electricity,6.2080664007064805e-06
wind_offshore_IND,co2,electricity,1.6654081203099333
wind_offshore_IND,monetary,electricity,12.803266696746737
wind_offshore_IND,vul,electricity,6.244125287983974e-06
wind_offshore_NDL,co2,electricity,0.22131448624305528
wind_offshore_NDL,monetary,electricity,12.174442537579779
wind_offshore_NDL,vul,electricity,6.201717374966521e-06
wind_offshore_PT,co2,electricity,0.3907838138875155
wind_offshore_PT,monetary,electricity,12.248552580805022
wind_offshore_PT,vul,electricity,6.206858543321402e-06
wind_onshore_competing_CN,co2,electricity,2.1894917284428983
wind_onshore_competing_CN,monetary,electricity,9.14129718183785
wind_onshore_competing_CN,vul,electricity,8.315262346446766e-06
wind_onshore_competing_DE,co2,electricity,0.7550298532418075
wind_onshore_competing_DE,monetary,electricity,8.518511541526454
wind_onshore_competing_DE,vul,electricity,8.23495248175084e-06
wind_onshore_competing_ESP,co2,electricity,138.96221775083356
wind_onshore_competing_ESP,monetary,electricity,1233.3836837497786
wind_onshore_competing_ESP,vul,electricity,9.864906167103104e-06
wind_onshore_competing_FR,co2,electricity,0.570671047880402
wind_onshore_competing_FR,monetary,electricity,8.437480899516743
wind_onshore_competing_FR,vul,electricity,8.223636739205145e-06
wind_onshore_competing_IND,co2,electricity,2.224122120401444
wind_onshore_competing_IND,monetary,electricity,9.17805695844491
wind_onshore_competing_IND,vul,electricity,8.33891525218376e-06
wind_onshore_competing_NDL,co2,electricity,0.2928442792434143
wind_onshore_competing_NDL,monetary,electricity,8.314916378169402
wind_onshore_competing_NDL,vul,electricity,8.206139080967726e-06
wind_onshore_competing_PT,co2,electricity,0.5175520905699326
wind_onshore_competing_PT,monetary,electricity,8.414081739577979
wind_onshore_competing_PT,vul,electricity,8.220331807019258e-06
wind_onshore_monopoly_CN,co2,electricity,2.18816706445826
wind_onshore_monopoly_CN,monetary,electricity,9.135766607324896
wind_onshore_monopoly_CN,vul,electricity,8.310231531116404e-06
wind_onshore_monopoly_DE,co2,electricity,0.7544877239557971
wind_onshore_monopoly_DE,monetary,electricity,8.51239504883408
wind_onshore_monopoly_DE,vul,electricity,8.229039591167652e-06
wind_onshore_monopoly_ESP,co2,electricity,0.2926467513518572
wind_onshore_monopoly_ESP,monetary,electricity,8.30930784142456
wind_onshore_monopoly_ESP,vul,electricity,8.200603916153594e-06
wind_onshore_monopoly_FR,co2,electricity,0.570268123724709
wind_onshore_monopoly_FR,monetary,electricity,8.431523588592627
wind_onshore_monopoly_FR,vul,electricity,8.217830413648282e-06
wind_onshore_monopoly_IND,co2,electricity,2.216877447421166
wind_onshore_monopoly_IND,monetary,electricity,9.148161108460602
wind_onshore_monopoly_IND,vul,electricity,8.31175275356996e-06
wind_onshore_monopoly_NDL,co2,electricity,1.6289468573900425
wind_onshore_monopoly_NDL,monetary,electricity,11.67124272711154
wind_onshore_monopoly_NDL,vul,electricity,8.568416792067576e-06
wind_onshore_monopoly_PT,co2,electricity,0.517189168106683
wind_onshore_monopoly_PT,monetary,electricity,8.40818154261897
wind_onshore_monopoly_PT,vul,electricity,8.21456747310488e-06
