nodes,techs,costs,timesteps,cost_operation_variable
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 06:00:00,2.6297931080977518e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 09:00:00,2.6254981990735627e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 12:00:00,2.6301914795525847e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 15:00:00,2.6139072563013037e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 18:00:00,2.5996160023820753e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-07 21:00:00,0.00040461414567684236
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 00:00:00,0.00014461510723748485
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 03:00:00,0.00029023525723976764
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 06:00:00,0.00023834047222674328
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 09:00:00,0.00035425565765045036
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 12:00:00,0.00027054187107714283
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 15:00:00,0.00027608392332231487
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 18:00:00,0.0013106382830763603
ESP_1,existing_hydro_reservoir,monetary,2018-01-08 21:00:00,0.0006536066998084344
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 00:00:00,2.6110537517676906e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 03:00:00,2.627917196535003e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 06:00:00,2.6334149694549137e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 09:00:00,2.6461789010070928e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 12:00:00,2.6440011672593194e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 15:00:00,2.6231692575245668e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 18:00:00,0.0009055439275076492
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 21:00:00,0.0009596277142322562
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 00:00:00,2.6130277196906873e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 03:00:00,2.6196575878869945e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 06:00:00,2.6234822656991797e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 09:00:00,2.6519035720445724e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 12:00:00,2.651069700337481e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 15:00:00,2.6436275992126684e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 18:00:00,2.630667765570824e-05
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 21:00:00,2.6351075111830678e-05
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 03:00:00,0.0
