techs,name
pumped_hydro_ESP,pumped SPAIN.
roof_mounted_pv_CN,Roof mounted PV CN
roof_mounted_pv_DE,Roof mounted PV DE
roof_mounted_pv_ESP,Roof mounted PV - ESP
roof_mounted_pv_MY,Roof mounted PV MY
roof_mounted_pv_NL,Roof mounted PV NL
roof_mounted_pv_PT,Roof mounted PV PT
uranium_UK,Uranium imports from UK
uranium_USA,Uranium imports from USA
wind_offshore_CN,Wind CN
wind_offshore_DE,Wind DE
wind_offshore_ESP,Wind offshore NDL
wind_offshore_FR,Wind FR
wind_offshore_IND,Wind onffshore IND
wind_offshore_NDL,Wind offshore NDL
wind_offshore_PT,Wind PT
wind_onshore_competing_CN,Wind onshore competing CN
wind_onshore_competing_DE,Wind onshore competing DE
wind_onshore_competing_ESP,Wind onshore competing ESP
wind_onshore_competing_FR,Wind onshore competing FR
wind_onshore_competing_IND,Wind onshore competing IND
wind_onshore_competing_NDL,Wind onshore competing NDL
wind_onshore_competing_PT,Wind onshore competing PT
wind_onshore_monopoly_CN,Wind CN
wind_onshore_monopoly_DE,Wind DE
wind_onshore_monopoly_ESP,Wind ESP
wind_onshore_monopoly_FR,Wind FR
wind_onshore_monopoly_IND,Wind IND
wind_onshore_monopoly_NDL,Wind NDL
wind_onshore_monopoly_PT,Wind PT
