nodes,techs,carriers,timesteps,flow_in_inc_eff
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 03:00:00,1.7181631383246897e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 06:00:00,1.883466315091934e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 09:00:00,1.4659016074662729e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 12:00:00,1.7977159631680813e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 15:00:00,1.786465321644436e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 18:00:00,2.241410905992388e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-08 21:00:00,4.215465247535588e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 00:00:00,407.3575859560951
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 03:00:00,798.2831815655051
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 06:00:00,782.6594236483232
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 09:00:00,1548.3664125048992
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 12:00:00,11.68278156050788
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 15:00:00,84.62458962356465
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 18:00:00,1.2305992356597468e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-09 21:00:00,2.9446761770842128e-05
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 00:00:00,160.35163677098035
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 03:00:00,433.1584549840593
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 06:00:00,614.9718303622303
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 09:00:00,1774.5844147438663
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 12:00:00,1242.6770199815107
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-10 15:00:00,377.59262797539407
