nodes,available_area
ESP_1,1804.030863210559
ESP_10,18555.36784157902
ESP_11,30957.46957938373
ESP_2,20425.103235207494
ESP_3,38722.08812505007
ESP_4,5368.592652991414
ESP_5,24124.65581158549
ESP_6,6798.149699896574
ESP_7,2918.9581568688154
ESP_8,51201.77004980296
ESP_9,18623.683894775808
FRA_1,10.0
FRA_3,10.0
MA,10.0
PRT_1,10.0
PRT_2,10.0
Trade_Markets,10.0
