nodes,techs,carriers,flow_cap
ESP_10,existing_coal,electricity,0.0
ESP_10,existing_hydro_reservoir,electricity,0.0
ESP_10,existing_hydro_run_of_river,electricity,24.17
ESP_10,existing_nuclear,electricity,0.0
ESP_10,existing_nuclear,uranium,0.0
ESP_10,existing_oil_and_other,electricity,0.0
ESP_10,existing_oil_and_other,oil,0.0
ESP_10,existing_open_field_pv,electricity,420.69
ESP_10,existing_pumped_hydro,electricity,0.0
ESP_10,existing_rooftop_pv,electricity,16.41
ESP_10,existing_wind_onshore,electricity,262.776
ESP_10,existing_wte,electricity,7.300774957639087e-07
ESP_10,open_field_pv_CN,electricity,8.397182949009657e-06
ESP_10,open_field_pv_DE,electricity,0.00017627885361117673
ESP_10,open_field_pv_ESP,electricity,9.74599238689832e-06
ESP_10,open_field_pv_MY,electricity,8.960612180603552e-05
ESP_10,open_field_pv_NL,electricity,1162.8312519266506
ESP_10,open_field_pv_PT,electricity,3.635333002318823e-05
ESP_10,pumped_hydro_CN,electricity,415.21127670979047
ESP_10,pumped_hydro_ESP,electricity,1.6899444726343803e-06
ESP_10,roof_mounted_pv_CN,electricity,1.0172473156882812e-05
ESP_10,roof_mounted_pv_DE,electricity,8.931310463675045e-06
ESP_10,roof_mounted_pv_ESP,electricity,3.829126980107202e-06
ESP_10,roof_mounted_pv_MY,electricity,8.39198355898041e-06
ESP_10,roof_mounted_pv_NL,electricity,9.450862889300824e-06
ESP_10,roof_mounted_pv_PT,electricity,6.95532656788286e-06
ESP_10,wind_offshore_CN,electricity,8.093694697224664e-06
ESP_10,wind_offshore_DE,electricity,9.373697164419801e-06
ESP_10,wind_offshore_ESP,electricity,0.0
ESP_10,wind_offshore_FR,electricity,9.569502772378868e-06
ESP_10,wind_offshore_IND,electricity,8.071738040750914e-06
ESP_10,wind_offshore_NDL,electricity,9.881238220131849e-06
ESP_10,wind_offshore_PT,electricity,9.627516944666348e-06
ESP_10,wind_onshore_competing_CN,electricity,2.7924354133083046e-05
ESP_10,wind_onshore_competing_DE,electricity,3.404422963914418e-05
ESP_10,wind_onshore_competing_ESP,electricity,1.596715630534338e-07
ESP_10,wind_onshore_competing_FR,electricity,3.508509842165523e-05
ESP_10,wind_onshore_competing_IND,electricity,1.3730348779356503e-05
ESP_10,wind_onshore_competing_NDL,electricity,3.6816074265157725e-05
ESP_10,wind_onshore_competing_PT,electricity,3.54000526203369e-05
ESP_10,wind_onshore_monopoly_CN,electricity,1.3791582828335389e-05
ESP_10,wind_onshore_monopoly_DE,electricity,1.7748343892887006e-05
ESP_10,wind_onshore_monopoly_ESP,electricity,1.9559162325978363e-05
ESP_10,wind_onshore_monopoly_FR,electricity,1.8428748670665224e-05
ESP_10,wind_onshore_monopoly_IND,electricity,1.3730348779356503e-05
ESP_10,wind_onshore_monopoly_NDL,electricity,1.1679456087178435e-05
ESP_10,wind_onshore_monopoly_PT,electricity,1.863464507946688e-05
ESP_11,ESP_10_ESP_11_ac_ohl_transmission,electricity,0.0003529463550045126
ESP_11,ESP_3_ESP_11_ac_ohl_transmission,electricity,0.0003685664803332392
ESP_11,ESP_5_ESP_11_ac_ohl_transmission,electricity,0.0003596235760225759
ESP_11,ESP_6_ESP_11_ac_ohl_transmission,electricity,0.00037457329101675324
ESP_11,ESP_7_ESP_11_ac_ohl_transmission,electricity,0.0003497555841692336
ESP_11,Trade_Markets_ESP_11_coal_transmission,coal,0.0
ESP_11,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,4.531732122302194e-06
ESP_11,Trade_Markets_ESP_11_oil_fuel_transmission,oil,5.893613542989359e-07
ESP_11,Trade_Markets_ESP_11_uranium_transmission,uranium,1063.9399943862968
ESP_11,battery_CN,electricity,3.536884867481969e-05
ESP_11,battery_CZ,electricity,3.398013051778275e-05
ESP_11,battery_ESP,electricity,3.4899790285562596e-05
ESP_11,battery_HU,electricity,3.2997006072490976e-05
ESP_11,battery_PL,electricity,3.382715926916372e-05
ESP_11,battery_US,electricity,3.486736707059452e-05
ESP_11,biogas_to_electricity_supply_BEL,electricity,1.6864017264283732e-05
ESP_11,biogas_to_electricity_supply_CAN,electricity,4.2071296249404156e-07
ESP_11,biogas_to_electricity_supply_FR,electricity,3.608597500416267e-07
ESP_11,biogas_to_electricity_supply_FSM,electricity,7.404978347463744e-07
ESP_11,biogas_to_electricity_supply_UK,electricity,5.241916230791643e-07
ESP_11,biogas_to_electricity_supply_USA,electricity,7.340042233807505e-07
ESP_11,biomass_ESP,electricity,1.3015447936460374e-06
ESP_11,biomass_FR,electricity,1.3025567919255407e-06
ESP_11,biomass_IT,electricity,1.295973891878541e-06
ESP_11,demand_tech,electricity,5118.150251378204
ESP_11,existing_biogas_to_electricity_supply,electricity,3.44
ESP_11,existing_biomass,electricity,10.44
ESP_11,existing_ccgt,electricity,6.163118698425446e-06
ESP_11,existing_ccgt,natural_gas,6.163118698425453e-06
ESP_11,existing_chp,electricity,2923.97
ESP_11,existing_chp,natural_gas,2923.97
ESP_11,existing_coal,coal,0.0
ESP_11,existing_coal,electricity,0.0
ESP_11,existing_hydro_reservoir,electricity,542.2
ESP_11,existing_hydro_run_of_river,electricity,53.4
ESP_11,existing_nuclear,electricity,1063.94
ESP_11,existing_nuclear,uranium,1063.94
ESP_11,existing_oil_and_other,electricity,4.8393093854323275e-05
ESP_11,existing_oil_and_other,oil,4.839309385432333e-05
ESP_11,existing_open_field_pv,electricity,334.52
ESP_11,existing_pumped_hydro,electricity,1476.35
ESP_11,existing_rooftop_pv,electricity,13.05
ESP_11,existing_wind_onshore,electricity,1193.24
ESP_11,existing_wte,electricity,1.1111865645204954e-06
ESP_11,open_field_pv_CN,electricity,8.3170637176293e-06
ESP_11,open_field_pv_DE,electricity,0.00015990856072712538
ESP_11,open_field_pv_ESP,electricity,9.155151233961555e-06
ESP_11,open_field_pv_MY,electricity,8.237616849534268e-05
ESP_11,open_field_pv_NL,electricity,1920.350934847939
ESP_11,open_field_pv_PT,electricity,3.341279395077372e-05
ESP_11,pumped_hydro_CN,electricity,4.540820332464416e-05
ESP_11,pumped_hydro_ESP,electricity,1.6185394080742158e-06
ESP_11,roof_mounted_pv_CN,electricity,9.861068616423096e-06
ESP_11,roof_mounted_pv_DE,electricity,8.764530571517276e-06
ESP_11,roof_mounted_pv_ESP,electricity,3.780906030656002e-06
ESP_11,roof_mounted_pv_MY,electricity,8.239318537780178e-06
ESP_11,roof_mounted_pv_NL,electricity,9.270034710410894e-06
ESP_11,roof_mounted_pv_PT,electricity,6.838711178085644e-06
ESP_11,wind_offshore_CN,electricity,7.795191590227077e-06
ESP_11,wind_offshore_DE,electricity,9.00702353002159e-06
ESP_11,wind_offshore_ESP,electricity,0.0
