nodes,techs,costs,timesteps,cost_operation_variable
ESP_1,existing_hydro_reservoir,monetary,2018-01-09 21:00:00,0.0001186749507863877
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 00:00:00,0.00011778066287799382
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 03:00:00,0.00011819897231721269
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 06:00:00,0.00012006147525287539
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 09:00:00,0.00012592138628961274
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 12:00:00,0.00012604031007148526
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 15:00:00,0.00012370064789095982
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 18:00:00,0.0001211025546903669
ESP_1,existing_hydro_reservoir,monetary,2018-01-10 21:00:00,0.00012129864312406766
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-01 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-02 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-03 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 00:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 03:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 06:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 09:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 12:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 15:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 18:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-04 21:00:00,0.0
ESP_1,existing_hydro_run_of_river,monetary,2018-01-05 00:00:00,0.0
