techs,carriers,systemwide_capacity_factor
ESP_6_FRA_2_ac_ohl_mountain_transmission,natural_gas,0.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,oil,0.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,uranium,0.0
ESP_6_FRA_2_dc_underground_transmission,coal,0.0
ESP_6_FRA_2_dc_underground_transmission,electricity,0.016969996515501354
ESP_6_FRA_2_dc_underground_transmission,natural_gas,0.0
ESP_6_FRA_2_dc_underground_transmission,oil,0.0
ESP_6_FRA_2_dc_underground_transmission,uranium,0.0
ESP_6_FRA_3_dc_subsea_transmission,coal,0.0
ESP_6_FRA_3_dc_subsea_transmission,electricity,0.0
ESP_6_FRA_3_dc_subsea_transmission,natural_gas,0.0
ESP_6_FRA_3_dc_subsea_transmission,oil,0.0
ESP_6_FRA_3_dc_subsea_transmission,uranium,0.0
ESP_7_ESP_11_ac_ohl_transmission,coal,0.0
ESP_7_ESP_11_ac_ohl_transmission,electricity,2.9833022560710866e-07
ESP_7_ESP_11_ac_ohl_transmission,natural_gas,0.0
ESP_7_ESP_11_ac_ohl_transmission,oil,0.0
ESP_7_ESP_11_ac_ohl_transmission,uranium,0.0
ESP_7_ESP_8_ac_ohl_transmission,coal,0.0
ESP_7_ESP_8_ac_ohl_transmission,electricity,2.2057193778942375e-05
ESP_7_ESP_8_ac_ohl_transmission,natural_gas,0.0
ESP_7_ESP_8_ac_ohl_transmission,oil,0.0
ESP_7_ESP_8_ac_ohl_transmission,uranium,0.0
ESP_8_ESP_10_ac_ohl_transmission,coal,0.0
ESP_8_ESP_10_ac_ohl_transmission,electricity,3.488544552935795e-06
ESP_8_ESP_10_ac_ohl_transmission,natural_gas,0.0
ESP_8_ESP_10_ac_ohl_transmission,oil,0.0
ESP_8_ESP_10_ac_ohl_transmission,uranium,0.0
ESP_8_ESP_9_ac_ohl_transmission,coal,0.0
ESP_8_ESP_9_ac_ohl_transmission,electricity,1.6145563185634795e-06
ESP_8_ESP_9_ac_ohl_transmission,natural_gas,0.0
ESP_8_ESP_9_ac_ohl_transmission,oil,0.0
ESP_8_ESP_9_ac_ohl_transmission,uranium,0.0
ESP_8_PRT_2_ac_ohl_transmission,coal,0.0
ESP_8_PRT_2_ac_ohl_transmission,electricity,1.650087539650523e-07
ESP_8_PRT_2_ac_ohl_transmission,natural_gas,0.0
ESP_8_PRT_2_ac_ohl_transmission,oil,0.0
ESP_8_PRT_2_ac_ohl_transmission,uranium,0.0
ESP_9_ESP_10_ac_ohl_transmission,coal,0.0
ESP_9_ESP_10_ac_ohl_transmission,electricity,3.6913017219516952e-06
ESP_9_ESP_10_ac_ohl_transmission,natural_gas,0.0
ESP_9_ESP_10_ac_ohl_transmission,oil,0.0
ESP_9_ESP_10_ac_ohl_transmission,uranium,0.0
ESP_9_MA_dc_subsea_transmission,coal,0.0
ESP_9_MA_dc_subsea_transmission,electricity,0.0
ESP_9_MA_dc_subsea_transmission,natural_gas,0.0
ESP_9_MA_dc_subsea_transmission,oil,0.0
ESP_9_MA_dc_subsea_transmission,uranium,0.0
ESP_9_PRT_2_ac_ohl_transmission,coal,0.0
ESP_9_PRT_2_ac_ohl_transmission,electricity,1.257900337168062e-07
ESP_9_PRT_2_ac_ohl_transmission,natural_gas,0.0
ESP_9_PRT_2_ac_ohl_transmission,oil,0.0
ESP_9_PRT_2_ac_ohl_transmission,uranium,0.0
PRT_1_PRT_2_ac_ohl_transmission,coal,0.0
PRT_1_PRT_2_ac_ohl_transmission,electricity,0.0
PRT_1_PRT_2_ac_ohl_transmission,natural_gas,0.0
PRT_1_PRT_2_ac_ohl_transmission,oil,0.0
PRT_1_PRT_2_ac_ohl_transmission,uranium,0.0
Trade_Markets_ESP_10_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_10_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,0.016712616296824877
Trade_Markets_ESP_10_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_10_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_11_coal_transmission,coal,0.0
Trade_Markets_ESP_11_coal_transmission,electricity,0.0
