techs,costs,carriers,systemwide_levelised_cost
biomass_FR,vul,electricity,3.4534946246791735e-06
biomass_IT,co2,electricity,0.08109695902616791
biomass_IT,monetary,electricity,25.74214988823439
biomass_IT,vul,electricity,3.4541681159454768e-06
coal_COL,co2,coal,9.34
coal_COL,monetary,coal,3.53
coal_COL,vul,coal,0.5000000000000001
el_import_FR,co2,electricity,56.99999999999998
el_import_FR,monetary,electricity,22.299999999999994
el_import_FR,vul,electricity,0.0
el_import_PT,co2,electricity,389.00000000000006
el_import_PT,monetary,electricity,0.27999999999999997
el_import_PT,vul,electricity,0.0
existing_biogas_to_electricity_supply,monetary,electricity,1.306583417201631
existing_biomass,monetary,electricity,21.640813125759767
existing_ccgt,monetary,electricity,38.05339076295488
existing_chp,monetary,electricity,2422.7062003681926
existing_coal,monetary,electricity,41.272669787126
existing_hydro_reservoir,monetary,electricity,5.0
existing_hydro_run_of_river,monetary,electricity,3289.3519050673012
existing_nuclear,monetary,electricity,19.21465253006384
existing_oil_and_other,monetary,electricity,1212147.0600593754
existing_open_field_pv,monetary,electricity,1.581233914631728
existing_pumped_hydro,monetary,electricity,1.9112183879826574
existing_rooftop_pv,monetary,electricity,2.1361977704912047
existing_wind_onshore,monetary,electricity,3.9409270872482427
existing_wte,monetary,electricity,55.916263438868306
natural_gas_DZA,co2,natural_gas,9.61
natural_gas_DZA,monetary,natural_gas,3.635
natural_gas_DZA,vul,natural_gas,0.49999999999999994
oil_MEX,co2,oil,16.500000000000004
oil_MEX,monetary,oil,6.25
oil_MEX,vul,oil,0.5000000000000001
open_field_pv_CN,co2,electricity,1010.5021021968882
open_field_pv_CN,monetary,electricity,2851.855422502406
open_field_pv_CN,vul,electricity,0.003249599958184241
open_field_pv_DE,co2,electricity,0.6400778960655767
open_field_pv_DE,monetary,electricity,1.4290247009401196
open_field_pv_DE,vul,electricity,1.5618131812350894e-06
open_field_pv_ESP,co2,electricity,1.09557380760697
open_field_pv_ESP,monetary,electricity,4.4346228797552625
open_field_pv_ESP,vul,electricity,2.0771534347166886e-06
open_field_pv_MY,co2,electricity,0.7496700953205612
open_field_pv_MY,monetary,electricity,1.5264498627473082
open_field_pv_MY,vul,electricity,1.635477323008336e-06
open_field_pv_NL,co2,electricity,0.5269899110923918
open_field_pv_NL,monetary,electricity,1.287423452591962
open_field_pv_NL,vul,electricity,1.431765455191653e-06
open_field_pv_PT,co2,electricity,1.1162066458393158
open_field_pv_PT,monetary,electricity,1.784743694463224
open_field_pv_PT,vul,electricity,1.7929590327512901e-06
pumped_hydro_CN,co2,electricity,0.1259020448129386
pumped_hydro_CN,monetary,electricity,1.8805640728437638
pumped_hydro_CN,vulnerability,electricity,1.0785351278616974e-05
pumped_hydro_ESP,co2,electricity,0.033489680673872445
pumped_hydro_ESP,monetary,electricity,21.673092663480944
pumped_hydro_ESP,vul,electricity,1.0025644391415297e-05
roof_mounted_pv_CN,co2,electricity,4199.743357999265
roof_mounted_pv_CN,monetary,electricity,10122.81915613473
roof_mounted_pv_CN,vul,electricity,0.013504258468006663
roof_mounted_pv_DE,co2,electricity,3827.9580876637874
roof_mounted_pv_DE,monetary,electricity,7350.65466147786
roof_mounted_pv_DE,vul,electricity,0.009340355971168012
roof_mounted_pv_ESP,co2,electricity,4802.6935251250525
roof_mounted_pv_ESP,monetary,electricity,18274.638585690835
roof_mounted_pv_ESP,vul,electricity,0.009105667990909018
roof_mounted_pv_MY,co2,electricity,4273.352490823221
roof_mounted_pv_MY,monetary,electricity,7507.9292324045755
roof_mounted_pv_MY,vul,electricity,0.009322728938486017
roof_mounted_pv_NL,co2,electricity,3443.4885839493236
roof_mounted_pv_NL,monetary,electricity,7214.85094438977
roof_mounted_pv_NL,vul,electricity,0.009355526350828166
roof_mounted_pv_PT,co2,electricity,5770.810926896658
roof_mounted_pv_PT,monetary,electricity,8040.647775418592
roof_mounted_pv_PT,vul,electricity,0.009269634450078957
uranium_USA,co2,uranium,0.4600000000000003
uranium_USA,monetary,uranium,0.17999999999999997
uranium_USA,vul,uranium,0.5000000000000002
wind_offshore_CN,co2,electricity,1.561531730531337
wind_offshore_CN,monetary,electricity,12.152323728440223
wind_offshore_CN,vul,electricity,5.930392808975493e-06
wind_offshore_DE,co2,electricity,0.5332245832771441
wind_offshore_DE,monetary,electricity,11.539962614423208
wind_offshore_DE,vul,electricity,5.815768855410249e-06
wind_offshore_ESP,co2,electricity,105.13416317985781
wind_offshore_ESP,monetary,electricity,940.2257609106638
wind_offshore_ESP,vul,electricity,7.463457848563175e-06
wind_offshore_FR,co2,electricity,0.4024304711132988
wind_offshore_FR,monetary,electricity,11.458220929143188
wind_offshore_FR,vul,electricity,5.799211331142445e-06
wind_offshore_IND,co2,electricity,1.5822831850810621
wind_offshore_IND,monetary,electricity,12.164221707169665
wind_offshore_IND,vul,electricity,5.932464438132929e-06
wind_offshore_NDL,co2,electricity,0.2060273081513119
wind_offshore_NDL,monetary,electricity,11.333499522962642
wind_offshore_NDL,vul,electricity,5.773337111228827e-06
wind_offshore_PT,co2,electricity,0.36481239015440675
wind_offshore_PT,monetary,electricity,11.434515924504522
wind_offshore_PT,vul,electricity,5.794351813125901e-06
wind_onshore_competing_CN,co2,electricity,2.1154390214516443
wind_onshore_competing_CN,monetary,electricity,8.832121406961539
wind_onshore_competing_CN,vul,electricity,8.034024615288613e-06
wind_onshore_competing_DE,co2,electricity,0.7096956553499882
wind_onshore_competing_DE,monetary,electricity,8.007035225313002
wind_onshore_competing_DE,vul,electricity,7.740501879785229e-06
wind_onshore_competing_ESP,co2,electricity,134.66167566233892
wind_onshore_competing_ESP,monetary,electricity,1195.213463605917
wind_onshore_competing_ESP,vul,electricity,9.559611354906408e-06
wind_onshore_competing_FR,co2,electricity,0.5335664637735551
wind_onshore_competing_FR,monetary,electricity,7.888882506714373
wind_onshore_competing_FR,vul,electricity,7.688942326044833e-06
wind_onshore_competing_IND,co2,electricity,2.044114183866203
wind_onshore_competing_IND,monetary,electricity,8.435236643257191
wind_onshore_competing_IND,vul,electricity,7.664010347583958e-06
wind_onshore_competing_NDL,co2,electricity,0.27137569789185484
wind_onshore_competing_NDL,monetary,electricity,7.705345109926304
